t_s,target_pitch,target_roll,pitch,roll,out_pitch,out_roll
0.0,0.0,0.0,0.0048,5.0,-0.0059,-6.15
0.0101,0.0,0.0,0.0578,4.9997,-0.0745,-9.7046
0.0201,0.0,0.0,0.1099,4.9988,-0.1791,-12.6418
0.0301,0.0,0.0,0.1623,4.9974,-0.3141,-15.1462
0.0401,0.0,0.0,0.2144,4.9954,-0.4748,-17.3469
0.05,0.0,0.0,0.2667,4.9929,-0.6089,-19.3344
0.0601,0.0,0.0,0.319,4.9898,-0.8132,-21.1718
0.07,0.0,0.0,0.3712,4.9862,-1.0366,-22.9034
0.0801,0.0,0.0,0.4236,4.982,-1.2783,-24.56
0.09,0.0,0.0,0.4755,4.9773,-1.5369,-26.1632
0.1001,0.0,0.0,0.5279,4.9721,-1.8127,-27.7281
0.1101,0.0,0.0,0.5799,4.9663,-2.1046,-29.2651
0.1201,0.0,0.0,0.632,4.9599,-2.4127,-30.7816
0.1301,0.0,0.0,0.6837,4.953,-2.7364,-32.2825
0.1401,0.0,0.0,0.7354,4.9456,-3.0757,-33.7715
0.1501,0.0,0.0,0.7873,4.9376,-3.4308,-35.2509
0.1601,0.0,0.0,0.8389,4.9291,-3.8013,-36.7223
0.1701,0.0,0.0,0.8909,4.92,-4.1876,-38.1867
0.18,0.0,0.0,0.9418,4.9105,-4.5885,-39.6451
0.1901,0.0,0.0,0.9934,4.9003,-5.005,-41.0976
0.2001,0.0,0.0,1.0447,4.8896,-5.4368,-42.5448
0.2101,0.0,0.0,1.0957,4.8785,-5.8834,-43.9867
0.22,0.0,0.0,1.1467,4.8667,-6.3451,-45.4233
0.2301,0.0,0.0,1.1976,4.8545,-6.8219,-46.8547
0.2401,0.0,0.0,1.2486,4.8416,-7.314,-48.2806
0.25,0.0,0.0,1.2989,4.8283,-7.8205,-49.7013
0.26,0.0,0.0,1.3494,4.8145,-8.3419,-51.1165
0.27,0.0,0.0,1.3998,4.8001,-8.8782,-52.5261
0.28,0.0,0.0,1.45,4.7851,-9.4292,-53.9299
0.2901,0.0,0.0,1.5003,4.7696,-9.9952,-54.8968
0.3,0.0,0.0,1.5498,4.7537,-10.5754,-54.8523
0.31,0.0,0.0,1.5995,4.7373,-11.1702,-54.8062
0.32,0.0,0.0,1.649,4.7202,-11.7795,-54.7585
0.3302,0.0,0.0,1.699,4.7025,-12.404,-54.7089
0.3401,0.0,0.0,1.7481,4.6844,-13.0425,-54.6579
0.35,0.0,0.0,1.7965,4.6661,-13.6945,-54.6056
0.3601,0.0,0.0,1.8455,4.6469,-14.3612,-54.5516
0.3701,0.0,0.0,1.894,4.6274,-15.042,-54.4961
0.3801,0.0,0.0,1.9424,4.6073,-15.7367,-54.439
0.3901,0.0,0.0,1.9905,4.5867,-16.4456,-54.3804
0.4001,0.0,0.0,2.0386,4.5656,-17.1684,-54.3202
0.4101,0.0,0.0,2.0862,4.544,-17.9048,-54.2586
0.4201,0.0,0.0,2.1336,4.5219,-18.6551,-54.1954
0.4301,0.0,0.0,2.1809,4.4993,-19.419,-54.1307
0.4401,0.0,0.0,2.2278,4.4763,-20.1964,-54.0646
0.4501,0.0,0.0,2.2745,4.4527,-20.9873,-53.997
0.4601,0.0,0.0,2.321,4.4286,-21.7916,-53.9279
0.4701,0.0,0.0,2.3675,4.404,-22.6095,-53.8572
0.4801,0.0,0.0,2.4133,4.379,-23.4403,-53.7852
0.4901,0.0,0.0,2.4591,4.3535,-24.2844,-53.7117
