t_s,target_pitch,target_yaw,pitch,yaw,out_pitch,out_yaw
0.0,0.0,0.0,0.0041,5.0,-0.0051,-6.15
0.0101,0.0,0.0,0.0571,4.9997,-0.0731,-9.7046
0.0201,0.0,0.0,0.1094,4.9988,-0.1776,-12.6418
0.0301,0.0,0.0,0.1615,4.9974,-0.312,-15.1462
0.0401,0.0,0.0,0.214,4.9954,-0.4727,-17.347
0.0501,0.0,0.0,0.2663,4.9929,-0.607,-19.3345
0.0601,0.0,0.0,0.3185,4.9898,-0.811,-21.1719
0.0701,0.0,0.0,0.3707,4.9862,-1.0342,-22.9035
0.0801,0.0,0.0,0.423,4.9821,-1.2756,-24.5601
0.0901,0.0,0.0,0.4751,4.9774,-1.5342,-26.1634
0.1003,0.0,0.0,0.5284,4.972,-1.811,-27.7281
0.1101,0.0,0.0,0.5792,4.9663,-2.102,-29.2653
0.1201,0.0,0.0,0.6312,4.96,-2.4097,-30.7818
0.1301,0.0,0.0,0.6834,4.9531,-2.7335,-32.2828
0.1401,0.0,0.0,0.7348,4.9457,-3.0724,-33.7718
0.1501,0.0,0.0,0.7869,4.9377,-3.4275,-35.2512
0.1601,0.0,0.0,0.8384,4.9292,-3.7978,-36.7226
0.1701,0.0,0.0,0.89,4.9202,-4.1835,-38.1872
0.1801,0.0,0.0,0.9414,4.9106,-4.5845,-39.6455
0.1901,0.0,0.0,0.9927,4.9005,-5.0006,-41.0982
0.2001,0.0,0.0,1.0441,4.8898,-5.4322,-42.5454
0.2101,0.0,0.0,1.0952,4.8786,-5.8788,-43.9873
0.2201,0.0,0.0,1.1462,4.8668,-6.3404,-45.424
0.2301,0.0,0.0,1.1973,4.8545,-6.8174,-46.8553
0.2401,0.0,0.0,1.2479,4.8418,-7.3089,-48.2814
0.2501,0.0,0.0,1.2987,4.8284,-7.8156,-49.7021
0.2601,0.0,0.0,1.349,4.8146,-8.337,-51.1173
0.2701,0.0,0.0,1.3995,4.8001,-8.8733,-52.5269
0.2801,0.0,0.0,1.4496,4.7853,-9.4242,-53.9307
0.2901,0.0,0.0,1.4996,4.7698,-9.9898,-54.8972
